availability,brand,category,color,currency,date,discount,name,picture,price,productid,url
in stock,Cartier,Accessories,White,€,2022-12-10,,Cartier White Gold Diamond Paved Love Bracelet 16,https://luxurybyho.com/wp-content/uploads/2022/10/IMG_8555-6.jpg,16328.00,cartier_white_gold_diamond_paved_love_bracelet_16_20221210,https://luxurybyho.com/shop/cartier-white-gold-diamond-paved-love-bracelet-16/
in stock,Balenciaga,Crossbody Bag,Grey,€,2022-12-10,,Balenciaga Dark Grey City,https://luxurybyho.com/wp-content/uploads/2022/11/IMG_2731-4-scaled.jpg,775.00,balenciaga_dark_grey_city_11_20221210,https://luxurybyho.com/shop/balenciaga-dark-grey-city-11/
in stock,Marni,Crossbody Bag,"Black, Green",€,2022-12-10,,Marni Black & Army Green Trunk,https://luxurybyho.com/wp-content/uploads/2022/05/IMG_8131.jpg,789.00,marni_black_army_green_trunk_20221210,https://luxurybyho.com/shop/marni-black-army-green-trunk/
in stock,Marni,Crossbody Bag,Blue,€,2022-12-10,,Marni Petrolium Blue Reversible Trunk,https://luxurybyho.com/wp-content/uploads/2022/08/IMG_8721-4.jpg,816.00,marni_petrolium_blue_reversible_trunk_20221210,https://luxurybyho.com/shop/marni-petrolium-blue-reversible-trunk/
in stock,Fendi,Shoulder Bag,"Blue, Grey",€,2022-12-10,,Fendi Grey & Navy Moon Bag,https://luxurybyho.com/wp-content/uploads/2022/12/318087969_1182173119391005_4382538240200848183_n-2.jpg,816.00,fendi_grey_navy_moon_bag_2_20221210,https://luxurybyho.com/shop/fendi-grey-navy-moon-bag-2/
in stock,Bottega Veneta,Shoulder Bag,Brown,€,2022-12-10,,Bottega Veneta Large Brown Zebra Hobo,https://luxurybyho.com/wp-content/uploads/2022/10/IMG_5775-3-scaled.jpg,816.00,bottega_veneta_large_brown_zebra_hobo_20221210,https://luxurybyho.com/shop/bottega-veneta-large-brown-zebra-hobo/
in stock,Bottega Veneta,Shoulder Bag,Orange,€,2022-12-10,,Bottega Veneta Orange Medium Hobo,https://luxurybyho.com/wp-content/uploads/2022/08/IMG_9401-2.jpg,816.00,bottega_veneta_orange_medium_hobo_2_20221210,https://luxurybyho.com/shop/bottega-veneta-orange-medium-hobo-2/
in stock,Marni,Crossbody Bag,"Black, Grey, Red",€,2022-12-10,,Marni Small Black Grey & Red Saffiano Trunk,https://luxurybyho.com/wp-content/uploads/2022/08/IMG_9233-3.jpg,816.00,marni_small_black_grey_red_saffiano_trunk_20221210,https://luxurybyho.com/shop/marni-small-black-grey-red-saffiano-trunk/
in stock,Marni,"Crossbody Bag, Shoulder Bag","Grey, Red",€,2022-12-10,,Marni Red & Light Grey Trunk,https://luxurybyho.com/wp-content/uploads/2022/05/IMG_2137-3.jpg,884.00,marni_red_light_grey_trunk_20221210,https://luxurybyho.com/shop/marni-red-light-grey-trunk/
in stock,Fendi,Shoulder Bag,Grey,€,2022-12-10,,Fendi Dark Grey Cashmere Zucca Baguette,https://luxurybyho.com/wp-content/uploads/2022/06/IMG_0655-3.jpg,789.00,fendi_dark_grey_cashmere_zucca_baguette_20221210,https://luxurybyho.com/shop/fendi-dark-grey-cashmere-zucca-baguette/
in stock,Fendi,Shoulder Bag,Orange,€,2022-12-10,,Fendi Orange Plastic Zucca Moon Bag,https://luxurybyho.com/wp-content/uploads/2022/11/IMG_3423-3-scaled.jpg,938.50,fendi_orange_plastic_zucca_moon_bag_20221210,https://luxurybyho.com/shop/fendi-orange-plastic-zucca-moon-bag/
in stock,Marni,Crossbody Bag,"Black, Blue, Red, White",€,2022-12-10,,Marni Tivoli Edition Trunk,https://luxurybyho.com/wp-content/uploads/2022/07/IMG_9129-3.jpg,979.50,marni_tivoli_edition_trunk_20221210,https://luxurybyho.com/shop/marni-tivoli-edition-trunk/
in stock,Louis Vuitton,Tote Bag,Brown,€,2022-12-10,,Louis Vuitton Neverfull MM Brown Damier,https://luxurybyho.com/wp-content/uploads/2022/08/IMG_5202-4.jpg,993.00,louis_vuitton_neverfull_mm_brown_damier_20221210,https://luxurybyho.com/shop/louis-vuitton-neverfull-mm-brown-damier/
in stock,Cartier,Accessories,"Silver, White",€,2022-12-10,,Cartier White Gold Diamond Heart Ring Size 49,https://luxurybyho.com/wp-content/uploads/2022/10/IMG_8600-5.jpg,1020.00,cartier_white_gold_diamond_heart_ring_size_49_20221210,https://luxurybyho.com/shop/cartier-white-gold-diamond-heart-ring-size-49/
in stock,Marni,Crossbody Bag,Red,€,2022-12-10,,Marni Red Trunk,https://luxurybyho.com/wp-content/uploads/2022/06/IMG_5070-e1656608600937.jpg,1006.50,marni_red_trunk_20221210,https://luxurybyho.com/shop/marni-red-trunk/
in stock,Marni,Crossbody Bag,"Black, Green",€,2022-12-10,,Marni Black & Dark Green Saffiano Trunk,https://luxurybyho.com/wp-content/uploads/2022/06/IMG_3422-3.jpg,1047.50,marni_black_dark_green_saffiano_trunk_20221210,https://luxurybyho.com/shop/marni-black-dark-green-saffiano-trunk/
in stock,Balenciaga,Crossbody Bag,Blue,€,2022-12-10,,Balenciaga Petrolium Blue Town,https://luxurybyho.com/wp-content/uploads/2022/11/IMG_9443-3-scaled.jpg,612.00,balenciaga_petrolium_blue_town_20221210,https://luxurybyho.com/shop/balenciaga-petrolium-blue-town/
in stock,Balenciaga,Shoulder Bag,Black,€,2022-12-10,,Balenciaga Small Black First,https://luxurybyho.com/wp-content/uploads/2022/12/IMG_4314-2-scaled.jpg,612.00,balenciaga_small_black_first_11_20221210,https://luxurybyho.com/shop/balenciaga-small-black-first-11/
in stock,Balenciaga,Crossbody Bag,Grey,€,2022-12-10,,Balenciaga Dark Grey Town,https://luxurybyho.com/wp-content/uploads/2022/12/IMG_5416-scaled.jpg,612.00,balenciaga_dark_grey_town_3_20221210,https://luxurybyho.com/shop/balenciaga-dark-grey-town-3/
